estado,fase,visitas,d_pi,H_pi_nats,H_pi_norm,action_gap,ventaja_media
c=B dc=- h=B dh=0 L=A dL=0 preo=M,calma,637,0.000027,0.0575,0.0131,6.11873,13.54242
c=B dc=+ h=B dh=+ L=A dL=- preo=B,prop_lenta,625,0.000000,0.1485,0.0338,3.63928,14.15696
c=M dc=- h=B dh=- L=M dL=+ preo=M,calma,625,0.000055,0.1399,0.0318,4.40328,11.59989
c=A dc=- h=A dh=0 L=M dL=- preo=A,emergencia,617,0.000000,4.3131,0.9815,1.21985,1.84628
c=B dc=0 h=B dh=0 L=B dL=+ preo=B,calma,611,0.000000,0.0119,0.0027,8.41791,16.06669
c=A dc=- h=M dh=0 L=A dL=+ preo=M,emergencia,609,0.000000,0.2581,0.0587,4.21744,9.23796
c=B dc=- h=A dh=- L=M dL=0 preo=M,emergencia,607,0.000000,0.1112,0.0253,5.48900,11.18475
c=M dc=0 h=B dh=- L=M dL=+ preo=M,calma,603,0.000027,0.0259,0.0059,6.39820,13.45469
c=B dc=+ h=M dh=- L=M dL=+ preo=M,prop_lenta,602,0.000027,0.1083,0.0246,5.51932,11.57891
c=M dc=0 h=M dh=0 L=M dL=- preo=M,calma,600,0.000000,0.0454,0.0103,6.66656,12.71652
c=B dc=- h=M dh=0 L=A dL=- preo=M,calma,598,0.000055,0.3321,0.0756,2.61473,12.76403
c=M dc=+ h=M dh=- L=B dL=0 preo=B,prop_rapida,597,0.000000,0.0189,0.0043,7.46088,14.68195
c=B dc=0 h=M dh=0 L=A dL=+ preo=M,calma,596,0.000000,0.1340,0.0305,4.90372,12.13037
c=A dc=0 h=A dh=0 L=M dL=0 preo=B,emergencia,594,0.000000,4.2746,0.9727,1.31250,2.03641
c=B dc=0 h=A dh=- L=M dL=+ preo=M,emergencia,590,0.000027,0.2271,0.0517,4.77934,10.53408
c=A dc=- h=A dh=+ L=B dL=+ preo=A,emergencia,589,0.000000,4.3531,0.9906,1.21034,1.47758
c=B dc=0 h=A dh=0 L=M dL=- preo=B,emergencia,587,0.000000,0.1258,0.0286,5.75960,11.73195
c=M dc=0 h=M dh=- L=M dL=+ preo=M,calma,586,0.000027,0.0135,0.0031,7.66659,12.91255
c=M dc=- h=M dh=+ L=A dL=+ preo=A,calma,584,0.000082,3.1476,0.7163,2.07728,4.09418
c=B dc=+ h=B dh=0 L=B dL=- preo=A,prop_lenta,584,0.000082,1.2950,0.2947,1.70487,8.03895
c=B dc=+ h=B dh=0 L=M dL=0 preo=B,prop_lenta,583,0.000000,0.0787,0.0179,4.65863,14.04277
c=B dc=- h=B dh=+ L=M dL=+ preo=A,calma,581,0.000192,0.5481,0.1247,3.44844,8.16165
c=M dc=0 h=B dh=+ L=B dL=- preo=M,calma,576,0.000082,0.0831,0.0189,4.66673,11.07249
c=B dc=0 h=M dh=0 L=M dL=0 preo=M,calma,568,0.000027,0.3020,0.0687,2.89417,12.22263
c=A dc=0 h=B dh=0 L=M dL=- preo=B,emergencia,564,0.000000,0.0146,0.0033,7.54583,12.54439
c=B dc=0 h=A dh=+ L=M dL=+ preo=B,emergencia,564,0.000000,0.2182,0.0497,3.28478,12.66653
c=B dc=+ h=B dh=+ L=B dL=0 preo=A,prop_lenta,564,0.000164,0.3699,0.0842,3.41862,8.70775
c=B dc=+ h=A dh=+ L=M dL=+ preo=A,emergencia,561,0.000055,3.8240,0.8702,0.79752,2.78094
c=B dc=+ h=M dh=0 L=B dL=0 preo=B,prop_lenta,560,0.000000,0.0483,0.0110,6.40060,12.68555
c=B dc=- h=B dh=- L=M dL=0 preo=M,calma,559,0.000055,0.3928,0.0894,2.34432,13.26531
c=M dc=- h=B dh=+ L=A dL=- preo=A,calma,558,0.000219,0.9081,0.2067,3.57472,6.76071
c=B dc=+ h=A dh=+ L=M dL=- preo=B,emergencia,556,0.000027,0.2690,0.0612,3.70801,11.89371
c=B dc=0 h=B dh=0 L=M dL=+ preo=A,calma,555,0.000000,0.6385,0.1453,2.24291,8.78739
c=M dc=0 h=M dh=0 L=B dL=- preo=M,calma,554,0.000000,0.0733,0.0167,5.92895,10.85517
c=M dc=+ h=M dh=0 L=M dL=- preo=M,prop_rapida,554,0.000027,0.0763,0.0174,5.52028,12.24992
c=B dc=- h=M dh=+ L=M dL=+ preo=M,calma,550,0.000055,0.3647,0.0830,2.40563,12.74522
c=A dc=0 h=A dh=0 L=B dL=0 preo=B,emergencia,548,0.000000,4.3596,0.9921,0.26834,1.07614
c=A dc=- h=A dh=0 L=B dL=- preo=A,emergencia,545,0.000000,4.3145,0.9818,1.56429,1.85329
c=M dc=0 h=B dh=+ L=B dL=- preo=A,calma,544,0.000192,0.9617,0.2188,3.21194,6.58149
c=M dc=0 h=B dh=- L=A dL=- preo=B,calma,542,0.000027,0.0243,0.0055,7.56088,14.26500
c=A dc=0 h=B dh=+ L=A dL=+ preo=B,emergencia,541,0.000000,0.0876,0.0199,6.19457,12.54144
c=M dc=- h=A dh=- L=M dL=+ preo=A,emergencia,541,0.000000,2.9397,0.6690,2.78579,4.28505
c=A dc=+ h=M dh=0 L=B dL=+ preo=B,emergencia,540,0.000000,1.0098,0.2298,2.11590,8.71950
c=B dc=+ h=A dh=- L=M dL=+ preo=B,emergencia,538,0.000000,0.2186,0.0497,3.61879,11.61805
c=A dc=- h=A dh=0 L=A dL=0 preo=B,emergencia,537,0.000000,4.3698,0.9944,0.00125,0.69651
c=A dc=- h=A dh=0 L=A dL=- preo=B,emergencia,532,0.000000,4.3617,0.9926,0.88474,1.17816
c=M dc=- h=A dh=- L=A dL=+ preo=B,emergencia,532,0.000000,0.4052,0.0922,3.17423,8.54948
c=A dc=+ h=B dh=0 L=B dL=0 preo=B,emergencia,532,0.000000,0.3505,0.0798,3.67206,10.96214
c=B dc=+ h=A dh=0 L=B dL=- preo=M,emergencia,532,0.000000,0.1468,0.0334,4.05376,11.42751
c=A dc=- h=M dh=+ L=A dL=- preo=B,emergencia,531,0.000000,2.7772,0.6320,3.37539,4.44952
c=B dc=0 h=A dh=- L=A dL=0 preo=M,emergencia,530,0.000027,0.1049,0.0239,4.66088,11.73926
c=M dc=+ h=B dh=- L=M dL=+ preo=M,prop_rapida,528,0.000000,0.1910,0.0435,4.33548,10.41229
c=M dc=- h=A dh=+ L=A dL=- preo=B,emergencia,524,0.000000,1.3300,0.3026,1.98401,7.26704
c=B dc=+ h=B dh=- L=B dL=+ preo=M,prop_lenta,509,0.000000,0.1093,0.0249,5.40459,12.18954
c=M dc=- h=A dh=+ L=A dL=- preo=M,emergencia,505,0.000027,3.4958,0.7955,1.62298,3.66857
c=B dc=0 h=M dh=+ L=B dL=0 preo=B,calma,501,0.000027,0.0217,0.0049,7.66440,15.08529
c=B dc=0 h=B dh=+ L=B dL=0 preo=B,calma,500,0.000000,0.0094,0.0021,6.84994,17.39140
c=B dc=0 h=M dh=0 L=B dL=- preo=M,calma,495,0.000027,0.0769,0.0175,6.00761,12.63622
c=M dc=0 h=B dh=- L=M dL=- preo=M,calma,492,0.000055,0.4333,0.0986,2.70995,11.21598
c=B dc=0 h=A dh=0 L=M dL=+ preo=B,emergencia,484,0.000000,0.1102,0.0251,5.14658,11.95111
c=A dc=0 h=M dh=+ L=A dL=+ preo=B,emergencia,480,0.000000,0.0770,0.0175,6.23993,11.07716
c=A dc=0 h=B dh=0 L=B dL=+ preo=B,emergencia,479,0.000000,0.6729,0.1531,3.47508,9.36068
c=M dc=+ h=M dh=+ L=B dL=- preo=A,prop_rapida,479,0.000164,2.4358,0.5543,1.73938,4.84668
c=A dc=0 h=B dh=+ L=B dL=- preo=B,emergencia,477,0.000027,0.0325,0.0074,7.15789,12.52107
c=B dc=+ h=M dh=0 L=B dL=+ preo=B,prop_lenta,476,0.000000,0.0972,0.0221,5.61826,12.46362
c=B dc=- h=A dh=+ L=M dL=+ preo=M,emergencia,472,0.000000,0.6699,0.1525,3.33761,8.54770
c=M dc=- h=B dh=0 L=B dL=+ preo=B,calma,472,0.000000,0.3893,0.0886,2.82201,12.77246
c=B dc=- h=M dh=- L=B dL=- preo=A,calma,471,0.000000,0.1452,0.0330,4.83509,10.67442
c=A dc=- h=A dh=+ L=B dL=0 preo=A,emergencia,471,0.000000,4.3530,0.9906,1.30009,1.46134
c=M dc=- h=A dh=+ L=M dL=- preo=A,emergencia,468,0.000000,4.1439,0.9430,1.19859,2.49628
c=B dc=0 h=A dh=- L=A dL=- preo=M,emergencia,465,0.000000,0.0997,0.0227,4.91751,10.91559
c=B dc=+ h=B dh=0 L=B dL=- preo=M,prop_lenta,461,0.000000,0.0804,0.0183,5.09901,11.80326
c=B dc=0 h=M dh=- L=A dL=0 preo=B,calma,457,0.000055,0.0279,0.0063,6.91217,14.63212
c=B dc=0 h=B dh=- L=A dL=0 preo=B,calma,457,0.000000,0.0074,0.0017,8.54037,16.14849
c=B dc=+ h=A dh=- L=A dL=- preo=M,emergencia,457,0.000000,0.0480,0.0109,6.60839,11.46693
c=B dc=- h=A dh=+ L=M dL=0 preo=A,emergencia,456,0.000110,3.7808,0.8603,1.14425,3.08911
c=M dc=- h=A dh=+ L=M dL=- preo=M,emergencia,453,0.000027,1.2370,0.2815,1.76423,6.75181
c=M dc=+ h=A dh=- L=M dL=- preo=A,emergencia,452,0.000000,3.4032,0.7744,1.62856,3.78430
c=B dc=- h=B dh=0 L=A dL=- preo=M,calma,451,0.000027,0.0461,0.0105,6.42659,13.20810
c=M dc=+ h=M dh=0 L=B dL=0 preo=B,prop_rapida,450,0.000000,0.0814,0.0185,4.51116,13.68674
c=M dc=0 h=M dh=+ L=M dL=+ preo=M,calma,450,0.000000,0.0486,0.0111,6.64847,11.57331
c=B dc=0 h=M dh=- L=B dL=0 preo=B,calma,449,0.000000,0.0768,0.0175,4.56454,14.99711
c=M dc=- h=A dh=+ L=M dL=+ preo=M,emergencia,449,0.000000,0.1146,0.0261,5.04269,9.61942
c=M dc=+ h=A dh=0 L=B dL=- preo=M,emergencia,448,0.000000,0.2210,0.0503,4.80175,9.59614
c=A dc=+ h=M dh=+ L=M dL=+ preo=B,emergencia,447,0.000000,0.1791,0.0408,5.16901,11.67230
c=B dc=+ h=M dh=- L=A dL=+ preo=A,prop_lenta,445,0.000000,0.5744,0.1307,3.02128,10.35267
c=M dc=0 h=B dh=+ L=M dL=+ preo=A,calma,445,0.000164,1.0183,0.2317,3.78258,6.18930
c=B dc=0 h=M dh=+ L=B dL=+ preo=B,calma,445,0.000000,0.0345,0.0079,7.00937,14.52741
c=M dc=- h=M dh=- L=B dL=- preo=B,calma,443,0.000000,0.0449,0.0102,6.11365,12.67620
c=B dc=- h=B dh=+ L=A dL=- preo=M,calma,440,0.000000,0.1244,0.0283,3.97507,14.71470
c=M dc=0 h=A dh=+ L=B dL=- preo=M,emergencia,438,0.000000,1.0168,0.2314,3.23122,6.52494
c=M dc=0 h=M dh=- L=B dL=+ preo=B,calma,436,0.000000,0.0135,0.0031,7.47263,14.84704
c=B dc=+ h=B dh=- L=M dL=+ preo=A,prop_lenta,436,0.000027,0.7655,0.1742,2.80325,8.41037
c=M dc=- h=A dh=- L=M dL=- preo=A,emergencia,435,0.000000,3.3219,0.7559,3.85763,3.90853
c=M dc=0 h=M dh=- L=A dL=+ preo=M,calma,433,0.000000,0.0205,0.0047,7.14039,12.79708
c=B dc=0 h=A dh=- L=B dL=0 preo=A,emergencia,433,0.000000,2.8067,0.6387,2.04374,4.45004
c=M dc=0 h=A dh=- L=B dL=- preo=A,emergencia,431,0.000000,2.7582,0.6277,3.10515,4.44979
c=M dc=- h=M dh=0 L=B dL=- preo=B,calma,430,0.000000,0.3198,0.0728,2.32819,13.56952
c=A dc=- h=B dh=+ L=B dL=- preo=A,emergencia,430,0.000000,4.3623,0.9927,0.87213,1.27225
c=M dc=+ h=B dh=- L=B dL=- preo=A,prop_rapida,427,0.000027,0.7439,0.1693,1.93913,7.51870
c=A dc=- h=B dh=+ L=M dL=- preo=A,emergencia,427,0.000000,4.1390,0.9419,1.73037,2.59756
c=B dc=0 h=A dh=- L=M dL=+ preo=B,emergencia,427,0.000000,0.0730,0.0166,5.29819,12.20024
c=B dc=0 h=B dh=0 L=M dL=- preo=M,calma,426,0.000082,0.2886,0.0657,2.47020,14.41292
c=B dc=+ h=B dh=- L=M dL=+ preo=M,prop_lenta,426,0.000000,0.1879,0.0428,3.88941,12.85928
c=B dc=0 h=A dh=+ L=B dL=- preo=B,emergencia,425,0.000027,0.0076,0.0017,7.96576,14.20759
c=B dc=0 h=M dh=- L=B dL=+ preo=B,calma,420,0.000000,0.0264,0.0060,7.07966,14.77187
c=M dc=- h=B dh=+ L=B dL=- preo=B,calma,419,0.000000,0.1079,0.0246,4.11612,14.14874
c=B dc=+ h=M dh=- L=A dL=- preo=B,prop_lenta,419,0.000000,0.0305,0.0069,7.20001,14.02031
c=M dc=- h=M dh=0 L=M dL=+ preo=M,calma,417,0.000000,0.0210,0.0048,6.55004,12.50111
c=B dc=- h=A dh=- L=A dL=- preo=M,emergencia,416,0.000000,0.3317,0.0755,3.60632,9.83571
c=M dc=- h=M dh=0 L=M dL=- preo=B,calma,413,0.000000,0.1157,0.0263,5.44920,12.63210
c=B dc=- h=M dh=- L=M dL=- preo=A,calma,412,0.000000,0.9606,0.2186,1.02923,9.16571
c=B dc=- h=M dh=0 L=M dL=+ preo=M,calma,411,0.000055,0.0020,0.0005,8.93483,14.36162
c=B dc=0 h=B dh=- L=M dL=0 preo=M,calma,411,0.000000,0.0077,0.0018,7.76977,15.46891
c=B dc=- h=B dh=+ L=B dL=+ preo=B,calma,410,0.000000,0.0288,0.0066,7.36381,14.63293
c=A dc=+ h=A dh=- L=B dL=- preo=B,emergencia,408,0.000000,3.2986,0.7506,3.87268,3.93411
c=M dc=+ h=M dh=- L=B dL=- preo=A,prop_rapida,408,0.000027,0.0368,0.0084,6.09259,11.07570
c=A dc=0 h=M dh=0 L=A dL=+ preo=B,emergencia,407,0.000000,2.3570,0.5364,2.65113,4.84373
c=B dc=+ h=A dh=- L=M dL=+ preo=M,emergencia,402,0.000082,0.2088,0.0475,4.27871,10.29551
c=M dc=+ h=A dh=+ L=M dL=- preo=M,emergencia,402,0.000027,0.0711,0.0162,5.80317,10.10049
c=B dc=0 h=B dh=+ L=M dL=- preo=M,calma,393,0.000000,0.0827,0.0188,5.07908,13.53442
c=M dc=- h=B dh=- L=A dL=0 preo=M,calma,392,0.000000,0.0572,0.0130,5.53301,11.78423
c=M dc=+ h=B dh=- L=M dL=0 preo=B,prop_rapida,391,0.000000,0.0281,0.0064,5.57822,16.01651
c=M dc=- h=B dh=- L=M dL=0 preo=B,calma,391,0.000000,0.0140,0.0032,7.68218,14.67389
c=B dc=0 h=A dh=- L=B dL=+ preo=A,emergencia,389,0.000000,3.0442,0.6927,2.00050,4.18284
c=B dc=+ h=A dh=0 L=M dL=- preo=B,emergencia,387,0.000000,0.0506,0.0115,6.06204,13.09716
c=B dc=- h=A dh=0 L=M dL=0 preo=A,emergencia,386,0.000000,3.2629,0.7425,0.38088,3.71239
c=A dc=- h=B dh=+ L=M dL=+ preo=A,emergencia,386,0.000000,4.3364,0.9868,1.50681,1.64270
c=M dc=- h=M dh=+ L=B dL=- preo=M,calma,385,0.000000,0.0689,0.0157,5.71454,10.98956
c=A dc=- h=B dh=- L=M dL=+ preo=B,emergencia,384,0.000000,0.0223,0.0051,7.00869,13.04523
c=A dc=+ h=M dh=+ L=B dL=- preo=A,emergencia,384,0.000027,4.0489,0.9214,2.45720,2.85029
c=A dc=0 h=A dh=+ L=B dL=- preo=B,emergencia,384,0.000000,4.3327,0.9859,1.49871,1.69239
c=M dc=- h=A dh=- L=A dL=+ preo=M,emergencia,382,0.000000,1.7023,0.3874,0.78750,6.70875
c=A dc=0 h=B dh=- L=B dL=+ preo=B,emergencia,379,0.000000,0.5014,0.1141,2.59543,12.53741
c=M dc=+ h=A dh=+ L=M dL=- preo=A,emergencia,377,0.000027,4.1878,0.9530,0.90317,2.25298
c=B dc=0 h=A dh=0 L=M dL=0 preo=A,emergencia,375,0.000000,3.5107,0.7989,1.51622,3.59806
c=B dc=0 h=B dh=0 L=M dL=- preo=A,calma,373,0.000000,0.4727,0.1076,2.54174,8.74769
c=B dc=+ h=M dh=+ L=A dL=- preo=B,prop_lenta,371,0.000000,0.0123,0.0028,7.36733,14.48140
c=B dc=0 h=B dh=- L=M dL=+ preo=A,calma,371,0.000000,0.3239,0.0737,3.58428,9.54241
c=A dc=0 h=A dh=0 L=A dL=0 preo=A,emergencia,371,0.000000,4.3666,0.9937,0.50711,0.84376
c=M dc=0 h=B dh=0 L=B dL=- preo=M,calma,370,0.000000,0.1637,0.0373,4.61731,10.53213
c=B dc=+ h=M dh=+ L=B dL=- preo=A,prop_lenta,369,0.000055,1.3877,0.3158,2.83811,6.05239
c=B dc=+ h=A dh=- L=B dL=+ preo=A,emergencia,368,0.000000,2.6966,0.6136,2.66698,4.51971
c=B dc=0 h=M dh=- L=A dL=0 preo=M,calma,367,0.000000,0.0100,0.0023,7.45009,13.45152
c=B dc=- h=A dh=0 L=M dL=+ preo=A,emergencia,366,0.000000,3.5818,0.8151,0.63941,3.37526
c=B dc=0 h=B dh=0 L=B dL=0 preo=B,calma,365,0.000247,0.0035,0.0008,9.13917,16.32880
c=M dc=0 h=M dh=0 L=B dL=+ preo=B,calma,365,0.000000,0.0125,0.0029,7.60333,14.44981
c=M dc=0 h=B dh=+ L=A dL=0 preo=B,calma,361,0.000027,0.0037,0.0008,9.21755,14.95525
c=M dc=0 h=B dh=- L=M dL=0 preo=B,calma,360,0.000000,0.0067,0.0015,8.05524,15.56048
c=M dc=0 h=M dh=+ L=A dL=- preo=B,calma,358,0.000000,0.0146,0.0033,7.98299,14.88326
c=M dc=+ h=B dh=- L=B dL=+ preo=M,prop_rapida,358,0.000000,0.0214,0.0049,7.09389,12.81401
c=M dc=- h=B dh=+ L=A dL=0 preo=M,calma,357,0.000000,0.1187,0.0270,5.08145,11.34898
c=A dc=0 h=B dh=0 L=B dL=+ preo=A,emergencia,357,0.000000,4.3600,0.9921,0.62194,1.07252
c=M dc=- h=M dh=- L=M dL=- preo=B,calma,356,0.000000,0.0854,0.0194,4.94532,12.57386
c=A dc=- h=A dh=+ L=B dL=+ preo=B,emergencia,356,0.000000,4.3643,0.9931,1.14963,1.30080
c=A dc=0 h=B dh=+ L=B dL=+ preo=B,emergencia,355,0.000027,0.1441,0.0328,3.55478,13.24234
c=B dc=+ h=B dh=0 L=A dL=- preo=B,prop_lenta,350,0.000000,0.0375,0.0085,7.25781,14.03401
c=M dc=0 h=A dh=+ L=B dL=- preo=A,emergencia,347,0.000000,4.1510,0.9446,1.06723,2.37718
c=M dc=- h=A dh=0 L=A dL=+ preo=M,emergencia,347,0.000000,0.7933,0.1805,1.83431,7.99889
c=M dc=- h=A dh=+ L=M dL=+ preo=A,emergencia,347,0.000000,4.0942,0.9317,0.24615,2.32123
c=B dc=- h=A dh=+ L=A dL=- preo=B,emergencia,340,0.000027,0.0645,0.0147,4.97706,12.36022
c=A dc=- h=A dh=0 L=A dL=0 preo=M,emergencia,339,0.000000,4.3791,0.9965,0.53012,0.79344
c=M dc=0 h=A dh=+ L=M dL=- preo=M,emergencia,336,0.000000,0.3446,0.0784,4.30012,7.91860
c=A dc=- h=A dh=- L=A dL=0 preo=B,emergencia,336,0.000000,4.1216,0.9379,1.43973,2.61941
c=B dc=+ h=M dh=+ L=M dL=0 preo=M,prop_lenta,335,0.000000,0.0204,0.0046,7.24977,12.20601
c=M dc=- h=B dh=+ L=M dL=0 preo=B,calma,335,0.000000,0.0383,0.0087,5.17274,16.01902
c=A dc=0 h=A dh=0 L=A dL=- preo=A,emergencia,335,0.000000,4.3666,0.9937,0.59448,0.96463
c=M dc=- h=M dh=+ L=A dL=0 preo=M,calma,334,0.000000,0.2341,0.0533,4.61670,10.67321
c=B dc=0 h=B dh=+ L=A dL=0 preo=B,calma,333,0.000000,0.0078,0.0018,8.33223,15.95888
c=A dc=- h=A dh=+ L=M dL=- preo=M,emergencia,332,0.000082,4.3378,0.9871,1.17846,1.63072
c=B dc=+ h=A dh=0 L=A dL=+ preo=M,emergencia,331,0.000027,0.0639,0.0145,5.28449,11.60209
c=B dc=+ h=A dh=+ L=A dL=+ preo=M,emergencia,331,0.000000,0.0864,0.0197,5.49403,10.64832
c=M dc=+ h=M dh=- L=M dL=+ preo=M,prop_rapida,330,0.000027,0.0200,0.0046,6.56803,12.15252
c=M dc=0 h=A dh=0 L=B dL=- preo=A,emergencia,329,0.000000,3.8361,0.8729,1.66335,3.19892
c=M dc=0 h=A dh=- L=M dL=- preo=A,emergencia,328,0.000000,3.3479,0.7619,2.48449,3.88087
c=A dc=0 h=A dh=0 L=B dL=- preo=M,emergencia,326,0.000000,4.3746,0.9955,0.33876,0.66477
c=M dc=0 h=M dh=+ L=A dL=+ preo=M,calma,325,0.000000,0.3443,0.0783,3.74397,9.60570
c=A dc=- h=A dh=- L=M dL=- preo=A,emergencia,324,0.000000,4.3708,0.9946,0.88765,1.06330
c=A dc=- h=A dh=0 L=M dL=0 preo=A,emergencia,323,0.000000,4.3277,0.9848,1.45420,1.74534
c=M dc=+ h=A dh=- L=M dL=+ preo=A,emergencia,322,0.000000,3.0325,0.6901,2.04168,4.20383
c=A dc=0 h=A dh=- L=B dL=- preo=A,emergencia,319,0.000000,4.3296,0.9852,1.58250,1.70381
c=B dc=- h=A dh=+ L=A dL=0 preo=M,emergencia,317,0.000000,0.1768,0.0402,5.15944,9.90751
c=M dc=- h=B dh=- L=B dL=- preo=M,calma,317,0.000000,0.0332,0.0075,5.55272,13.08597
c=A dc=0 h=M dh=- L=A dL=+ preo=B,emergencia,315,0.000000,0.0831,0.0189,5.21603,11.52172
c=B dc=- h=M dh=+ L=B dL=- preo=M,calma,314,0.000000,0.0058,0.0013,7.57188,14.18557
c=B dc=0 h=M dh=0 L=B dL=+ preo=B,calma,314,0.000000,0.0071,0.0016,8.84306,16.14905
c=A dc=+ h=M dh=+ L=B dL=0 preo=B,emergencia,313,0.000000,0.1807,0.0411,4.38792,9.76047
c=B dc=- h=A dh=- L=A dL=- preo=B,emergencia,313,0.000000,0.1705,0.0388,4.35593,11.05938
c=B dc=0 h=M dh=0 L=B dL=0 preo=B,calma,313,0.000000,0.0982,0.0224,4.31393,16.03579
c=B dc=- h=B dh=- L=B dL=- preo=M,calma,311,0.000000,0.0429,0.0098,5.59275,13.09139
c=B dc=- h=A dh=- L=B dL=+ preo=A,emergencia,308,0.000000,2.9059,0.6613,4.26497,4.30994
c=B dc=- h=B dh=0 L=M dL=+ preo=M,calma,308,0.000000,0.0658,0.0150,5.58287,13.38572
c=B dc=+ h=A dh=+ L=A dL=- preo=A,emergencia,307,0.000000,3.7353,0.8500,1.61360,3.33133
c=B dc=0 h=B dh=- L=A dL=+ preo=A,calma,305,0.000000,0.0188,0.0043,7.12139,11.75150
c=M dc=0 h=B dh=- L=A dL=0 preo=B,calma,305,0.000000,0.0281,0.0064,6.75821,13.96620
c=M dc=+ h=M dh=+ L=M dL=0 preo=B,prop_rapida,304,0.000000,0.1502,0.0342,3.37360,14.11000
c=B dc=+ h=B dh=+ L=B dL=+ preo=A,prop_lenta,303,0.000301,0.6179,0.1406,2.40108,8.23330
c=B dc=0 h=A dh=+ L=B dL=- preo=M,emergencia,302,0.000055,0.0831,0.0189,5.59324,10.79128
c=B dc=+ h=A dh=0 L=A dL=- preo=A,emergencia,302,0.000000,3.2497,0.7395,2.09910,3.98303
c=B dc=+ h=A dh=0 L=M dL=+ preo=A,emergencia,302,0.000000,3.4948,0.7953,1.52798,3.65782
c=B dc=- h=B dh=0 L=A dL=+ preo=A,calma,301,0.000055,0.3201,0.0728,3.72545,8.31405
c=B dc=- h=A dh=0 L=M dL=+ preo=M,emergencia,301,0.000000,0.3724,0.0847,3.69145,9.41547
c=B dc=- h=B dh=- L=B dL=0 preo=B,calma,299,0.000027,0.0113,0.0026,6.77291,16.59559
c=M dc=0 h=B dh=0 L=A dL=- preo=B,calma,299,0.000000,0.0012,0.0003,9.84544,16.06987
c=M dc=0 h=M dh=+ L=M dL=0 preo=B,calma,297,0.000000,0.0232,0.0053,6.91520,13.90643
c=M dc=+ h=B dh=+ L=M dL=- preo=M,prop_rapida,297,0.000000,0.1544,0.0351,4.12657,11.16257
c=A dc=- h=A dh=0 L=A dL=+ preo=M,emergencia,297,0.000000,4.2483,0.9668,1.84962,2.11889
c=A dc=0 h=A dh=0 L=A dL=0 preo=B,emergencia,296,0.000000,4.1706,0.9491,2.00398,2.48426
c=M dc=0 h=A dh=- L=M dL=+ preo=A,emergencia,295,0.000000,3.0283,0.6891,3.22975,4.20016
c=B dc=- h=B dh=+ L=M dL=+ preo=M,calma,295,0.000055,0.0101,0.0023,7.58804,14.90687
c=A dc=0 h=B dh=0 L=M dL=0 preo=A,emergencia,294,0.000000,4.3147,0.9819,0.27892,1.45057
c=M dc=+ h=M dh=+ L=B dL=0 preo=M,prop_rapida,294,0.000000,0.0175,0.0040,7.03770,12.54216
c=A dc=- h=A dh=+ L=M dL=0 preo=B,emergencia,292,0.000000,4.3775,0.9961,0.88805,1.01539
c=A dc=- h=A dh=- L=B dL=- preo=A,emergencia,290,0.000000,4.3640,0.9931,1.03198,1.19864
c=B dc=0 h=M dh=- L=M dL=- preo=A,calma,290,0.000000,0.0449,0.0102,5.65043,11.16867
c=B dc=- h=B dh=- L=M dL=+ preo=A,calma,288,0.000000,0.0453,0.0103,6.61767,11.35546
c=A dc=0 h=B dh=0 L=B dL=0 preo=A,emergencia,287,0.001041,4.3561,0.9913,0.19949,1.06190
c=A dc=- h=A dh=- L=A dL=- preo=B,emergencia,286,0.000000,4.3280,0.9849,0.55400,1.51762
c=M dc=- h=M dh=- L=B dL=- preo=M,calma,284,0.000027,0.1172,0.0267,4.70855,10.16300
c=M dc=- h=B dh=- L=A dL=- preo=M,calma,278,0.000000,0.0451,0.0103,5.89926,13.27274
c=A dc=- h=A dh=0 L=A dL=- preo=M,emergencia,278,0.000000,4.3715,0.9948,0.60774,0.96109
c=A dc=- h=B dh=+ L=B dL=- preo=B,emergencia,277,0.000000,0.1002,0.0228,5.18936,9.55993
c=B dc=- h=A dh=- L=A dL=0 preo=B,emergencia,275,0.000000,0.1480,0.0337,4.35314,11.54894
c=B dc=+ h=M dh=0 L=M dL=0 preo=M,prop_lenta,275,0.000027,0.0124,0.0028,7.44535,12.16055
c=M dc=- h=A dh=- L=M dL=+ preo=M,emergencia,274,0.000000,0.3537,0.0805,3.73891,8.27763
c=A dc=- h=A dh=- L=B dL=+ preo=A,emergencia,272,0.000000,4.3868,0.9983,0.24663,0.40065
c=A dc=+ h=A dh=- L=B dL=+ preo=A,emergencia,270,0.000000,4.3810,0.9969,0.49817,0.66198
c=M dc=+ h=B dh=0 L=M dL=- preo=M,prop_rapida,269,0.000000,0.0679,0.0155,6.00891,12.38338
c=B dc=+ h=M dh=- L=M dL=- preo=A,prop_lenta,266,0.000000,0.1680,0.0382,5.44868,9.55036
c=M dc=+ h=A dh=0 L=M dL=- preo=A,emergencia,266,0.000000,3.8696,0.8806,1.95112,3.16716
c=B dc=+ h=M dh=- L=A dL=0 preo=B,prop_lenta,262,0.000000,0.0214,0.0049,6.41852,14.19017
c=B dc=+ h=A dh=+ L=M dL=+ preo=B,emergencia,260,0.000000,0.0241,0.0055,6.83165,12.40776
c=M dc=- h=M dh=+ L=B dL=+ preo=B,calma,259,0.000000,0.0180,0.0041,7.68693,14.45592
c=B dc=+ h=A dh=0 L=A dL=+ preo=A,emergencia,258,0.000000,2.6067,0.5932,1.27229,4.58832
