rank,estado,fase,nivel_contagio,visitas,d_pi,d_pi_descontada
284,c=B dc=- h=A dh=- L=M dL=0 preo=A,emergencia,B,9211,0.000055,0.000519
285,c=B dc=- h=B dh=0 L=A dL=+ preo=A,calma,B,301,0.000055,0.000775
286,c=B dc=- h=M dh=+ L=M dL=0 preo=M,calma,B,1088,0.000055,0.000244
287,c=B dc=0 h=M dh=- L=B dL=- preo=M,calma,B,2988,0.000055,0.000019
288,c=B dc=- h=B dh=- L=A dL=+ preo=A,calma,B,821,0.000055,0.000796
289,c=B dc=0 h=B dh=+ L=A dL=+ preo=A,calma,B,131,0.000055,0.000836
290,c=B dc=0 h=B dh=+ L=A dL=+ preo=B,calma,B,12206,0.000055,0.000475
291,c=B dc=- h=B dh=+ L=M dL=+ preo=M,calma,B,295,0.000055,0.000593
292,c=B dc=- h=M dh=+ L=M dL=+ preo=M,calma,B,550,0.000055,0.000000
293,c=B dc=0 h=B dh=+ L=M dL=- preo=B,calma,B,11833,0.000055,0.000008
294,c=B dc=- h=M dh=- L=B dL=- preo=B,calma,B,3082,0.000055,0.000332
295,c=B dc=- h=A dh=- L=B dL=- preo=M,emergencia,B,800,0.000055,0.000455
296,c=M dc=+ h=B dh=+ L=B dL=+ preo=B,prop_rapida,M,7536,0.000055,0.000293
297,c=B dc=- h=A dh=- L=M dL=- preo=B,emergencia,B,738,0.000055,0.000350
298,c=M dc=+ h=B dh=0 L=M dL=+ preo=M,prop_rapida,M,122,0.000055,0.000475
299,c=M dc=+ h=M dh=0 L=B dL=- preo=A,prop_rapida,M,138,0.000055,0.000614
300,c=B dc=0 h=B dh=+ L=M dL=+ preo=A,calma,B,141,0.000055,0.000838
301,c=B dc=0 h=M dh=- L=A dL=0 preo=B,calma,B,457,0.000055,0.000189
302,c=B dc=+ h=B dh=0 L=B dL=+ preo=A,prop_lenta,B,98,0.000055,0.000926
303,c=B dc=+ h=A dh=- L=M dL=- preo=B,emergencia,B,1689,0.000055,0.000154
304,c=M dc=0 h=B dh=- L=M dL=- preo=M,calma,M,492,0.000055,0.000027
305,c=M dc=0 h=B dh=- L=B dL=- preo=B,calma,M,4248,0.000055,0.000000
306,c=M dc=- h=A dh=+ L=A dL=+ preo=M,emergencia,M,1565,0.000055,0.000000
307,c=B dc=+ h=B dh=- L=M dL=0 preo=B,prop_lenta,B,2642,0.000055,0.000170
308,c=B dc=+ h=B dh=- L=M dL=- preo=M,prop_lenta,B,1154,0.000055,0.000001
309,c=B dc=+ h=B dh=- L=B dL=- preo=A,prop_lenta,B,3727,0.000055,0.000756
310,c=B dc=+ h=B dh=- L=B dL=- preo=M,prop_lenta,B,4126,0.000055,0.000624
311,c=B dc=+ h=A dh=+ L=M dL=0 preo=A,emergencia,B,226,0.000055,0.000547
312,c=B dc=+ h=A dh=+ L=M dL=+ preo=A,emergencia,B,561,0.000055,0.000647
313,c=B dc=+ h=A dh=- L=M dL=+ preo=A,emergencia,B,1815,0.000055,0.000570
314,c=M dc=- h=A dh=+ L=A dL=0 preo=M,emergencia,M,660,0.000055,0.000683
315,c=M dc=- h=B dh=- L=M dL=+ preo=M,calma,M,625,0.000055,0.000702
316,c=M dc=0 h=B dh=- L=B dL=- preo=M,calma,M,824,0.000055,0.000270
317,c=M dc=- h=B dh=+ L=M dL=+ preo=M,calma,M,251,0.000055,0.000816
318,c=B dc=+ h=A dh=- L=M dL=- preo=A,emergencia,B,7611,0.000055,0.000504
319,c=M dc=- h=M dh=- L=M dL=+ preo=M,calma,M,1067,0.000055,0.000256
320,c=B dc=+ h=M dh=0 L=M dL=+ preo=B,prop_lenta,B,2652,0.000055,0.000000
321,c=B dc=+ h=M dh=0 L=M dL=0 preo=B,prop_lenta,B,1179,0.000055,0.000000
322,c=M dc=- h=B dh=0 L=A dL=0 preo=B,calma,M,1976,0.000055,0.000000
323,c=B dc=+ h=M dh=+ L=B dL=- preo=A,prop_lenta,B,369,0.000055,0.000614
324,c=B dc=0 h=A dh=+ L=B dL=- preo=M,emergencia,B,302,0.000055,0.000453
325,c=B dc=0 h=A dh=0 L=A dL=+ preo=M,emergencia,B,731,0.000055,0.000355
326,c=B dc=+ h=M dh=- L=M dL=0 preo=B,prop_lenta,B,3029,0.000055,0.000000
327,c=M dc=- h=B dh=0 L=M dL=+ preo=M,calma,M,162,0.000055,0.000624
328,c=B dc=+ h=M dh=+ L=B dL=- preo=M,prop_lenta,B,1612,0.000055,0.000445
329,c=B dc=0 h=A dh=0 L=A dL=+ preo=A,emergencia,B,1655,0.000055,0.000389
330,c=A dc=- h=B dh=+ L=B dL=+ preo=A,emergencia,A,107,0.000027,0.000451
331,c=A dc=- h=B dh=+ L=B dL=+ preo=B,emergencia,A,184,0.000027,0.000475
332,c=A dc=- h=M dh=- L=A dL=+ preo=M,emergencia,A,800,0.000027,0.000001
333,c=A dc=- h=B dh=+ L=B dL=- preo=M,emergencia,A,124,0.000027,0.000407
334,c=B dc=- h=M dh=0 L=B dL=- preo=B,calma,B,2098,0.000027,0.000000
335,c=A dc=- h=B dh=0 L=A dL=+ preo=B,emergencia,A,1150,0.000027,0.000064
336,c=M dc=+ h=A dh=+ L=M dL=+ preo=A,emergencia,M,176,0.000027,0.000299
337,c=M dc=+ h=A dh=+ L=M dL=0 preo=A,emergencia,M,82,0.000027,0.000332
338,c=B dc=+ h=A dh=- L=A dL=0 preo=M,emergencia,B,193,0.000027,0.000170
339,c=M dc=- h=M dh=- L=A dL=- preo=B,calma,M,197,0.000027,0.000013
340,c=M dc=+ h=M dh=+ L=B dL=0 preo=B,prop_rapida,M,1007,0.000027,0.000001
341,c=B dc=- h=M dh=0 L=M dL=0 preo=M,calma,B,816,0.000027,0.000189
342,c=B dc=+ h=M dh=+ L=M dL=+ preo=M,prop_lenta,B,106,0.000027,0.000284
343,c=B dc=- h=M dh=0 L=M dL=0 preo=A,calma,B,12,0.000027,0.000315
344,c=M dc=- h=M dh=+ L=M dL=- preo=M,calma,M,2094,0.000027,0.000000
345,c=M dc=+ h=A dh=- L=B dL=- preo=B,emergencia,M,1014,0.000027,0.000000
346,c=M dc=- h=M dh=0 L=A dL=- preo=B,calma,M,243,0.000027,0.000000
347,c=B dc=- h=M dh=+ L=B dL=- preo=A,calma,B,52,0.000027,0.000349
348,c=B dc=- h=M dh=+ L=B dL=- preo=B,calma,B,3646,0.000027,0.000015
349,c=B dc=- h=M dh=0 L=A dL=+ preo=A,calma,B,214,0.000027,0.000284
350,c=M dc=+ h=A dh=0 L=B dL=- preo=A,emergencia,M,1073,0.000027,0.000315
351,c=B dc=- h=M dh=0 L=A dL=0 preo=A,calma,B,16,0.000027,0.000270
352,c=M dc=- h=M dh=- L=A dL=+ preo=A,calma,M,173,0.000027,0.000270
353,c=M dc=+ h=M dh=+ L=M dL=0 preo=A,prop_rapida,M,9,0.000027,0.000368
354,c=M dc=- h=M dh=- L=A dL=0 preo=M,calma,M,138,0.000027,0.000028
355,c=B dc=+ h=M dh=+ L=M dL=- preo=M,prop_lenta,B,1088,0.000027,0.000299
356,c=M dc=+ h=A dh=+ L=M dL=- preo=M,emergencia,M,402,0.000027,0.000018
357,c=B dc=- h=M dh=0 L=M dL=+ preo=A,calma,B,42,0.000027,0.000315
358,c=M dc=- h=M dh=+ L=M dL=+ preo=M,calma,M,680,0.000027,0.000139
359,c=M dc=+ h=A dh=+ L=M dL=- preo=A,emergencia,M,377,0.000027,0.000299
360,c=B dc=+ h=M dh=+ L=B dL=+ preo=A,prop_lenta,B,11,0.000027,0.000332
361,c=B dc=0 h=A dh=0 L=M dL=- preo=A,emergencia,B,2242,0.000027,0.000284
362,c=A dc=- h=A dh=+ L=B dL=- preo=A,emergencia,A,1556,0.000027,0.000429
363,c=M dc=- h=M dh=- L=B dL=- preo=M,calma,M,284,0.000027,0.000000
364,c=B dc=- h=B dh=0 L=A dL=- preo=M,calma,B,451,0.000027,0.000000
365,c=A dc=+ h=B dh=0 L=B dL=0 preo=M,emergencia,A,32,0.000027,0.000284
366,c=M dc=- h=B dh=+ L=M dL=0 preo=M,calma,M,51,0.000027,0.000244
367,c=B dc=- h=B dh=0 L=M dL=0 preo=B,calma,B,3066,0.000027,0.000001
368,c=M dc=- h=B dh=- L=A dL=+ preo=A,calma,M,123,0.000027,0.000315
369,c=B dc=- h=B dh=0 L=M dL=- preo=B,calma,B,7564,0.000027,0.000000
370,c=M dc=- h=B dh=0 L=M dL=- preo=A,calma,M,10,0.000027,0.000407
371,c=A dc=+ h=B dh=+ L=B dL=0 preo=M,emergencia,A,62,0.000027,0.000270
372,c=A dc=+ h=B dh=+ L=B dL=+ preo=M,emergencia,A,44,0.000027,0.000475
373,c=A dc=+ h=B dh=+ L=M dL=+ preo=A,emergencia,A,56,0.000027,0.000451
374,c=A dc=+ h=M dh=- L=B dL=- preo=M,emergencia,A,3648,0.000027,0.000001
375,c=M dc=- h=B dh=0 L=A dL=- preo=B,calma,M,893,0.000027,0.000061
376,c=A dc=+ h=M dh=+ L=B dL=- preo=A,emergencia,A,384,0.000027,0.000349
377,c=M dc=- h=B dh=+ L=M dL=- preo=M,calma,M,212,0.000027,0.000451
378,c=A dc=+ h=M dh=+ L=B dL=+ preo=M,emergencia,A,172,0.000027,0.000475
379,c=A dc=+ h=A dh=0 L=B dL=- preo=M,emergencia,A,159,0.000027,0.000001
380,c=B dc=- h=B dh=- L=B dL=+ preo=B,calma,B,767,0.000027,0.000162
381,c=B dc=- h=B dh=- L=B dL=0 preo=A,calma,B,58,0.000027,0.000387
382,c=B dc=- h=B dh=- L=B dL=0 preo=B,calma,B,299,0.000027,0.000000
383,c=A dc=+ h=B dh=0 L=B dL=- preo=A,emergencia,A,36,0.000027,0.000451
384,c=B dc=- h=B dh=0 L=A dL=0 preo=M,calma,B,637,0.000027,0.000000
385,c=A dc=+ h=B dh=- L=B dL=- preo=A,emergencia,A,55,0.000027,0.000407
386,c=A dc=0 h=B dh=+ L=B dL=- preo=M,emergencia,A,247,0.000027,0.000451
387,c=B dc=+ h=A dh=0 L=M dL=0 preo=A,emergencia,B,163,0.000027,0.000299
388,c=A dc=- h=A dh=+ L=A dL=- preo=M,emergencia,A,1309,0.000027,0.000349
389,c=B dc=+ h=A dh=0 L=A dL=+ preo=M,emergencia,B,331,0.000027,0.000125
390,c=M dc=+ h=M dh=0 L=M dL=+ preo=B,prop_rapida,M,2076,0.000027,0.000000
391,c=B dc=+ h=A dh=+ L=B dL=- preo=M,emergencia,B,823,0.000027,0.000232
392,c=B dc=- h=M dh=- L=B dL=- preo=M,calma,B,1161,0.000027,0.000154
393,c=B dc=+ h=A dh=+ L=M dL=- preo=B,emergencia,B,556,0.000027,0.000179
394,c=A dc=0 h=B dh=+ L=B dL=- preo=B,emergencia,A,477,0.000027,0.000451
395,c=A dc=0 h=B dh=+ L=B dL=- preo=A,emergencia,A,207,0.000027,0.000429
396,c=M dc=- h=B dh=- L=A dL=0 preo=B,calma,M,2845,0.000027,0.000000
397,c=A dc=0 h=B dh=+ L=B dL=+ preo=B,emergencia,A,355,0.000027,0.000475
398,c=M dc=- h=B dh=+ L=A dL=- preo=M,calma,M,243,0.000027,0.000451
399,c=A dc=0 h=M dh=+ L=B dL=- preo=A,emergencia,A,78,0.000027,0.000387
400,c=A dc=0 h=M dh=+ L=A dL=0 preo=A,emergencia,A,0,0.000027,0.000368
401,c=B dc=+ h=A dh=+ L=A dL=+ preo=A,emergencia,B,196,0.000027,0.000332
402,c=A dc=+ h=B dh=- L=B dL=- preo=M,emergencia,A,3504,0.000027,0.000299
403,c=M dc=- h=B dh=- L=M dL=- preo=M,calma,M,912,0.000027,0.000000
404,c=B dc=- h=B dh=+ L=B dL=- preo=M,calma,B,108,0.000027,0.000220
405,c=M dc=+ h=M dh=0 L=M dL=+ preo=M,prop_rapida,M,137,0.000027,0.000132
406,c=B dc=+ h=M dh=- L=M dL=+ preo=M,prop_lenta,B,602,0.000027,0.000209
407,c=M dc=+ h=M dh=0 L=M dL=- preo=M,prop_rapida,M,554,0.000027,0.000001
408,c=M dc=0 h=A dh=+ L=A dL=+ preo=M,emergencia,M,93,0.000027,0.000001
409,c=M dc=0 h=B dh=0 L=M dL=- preo=B,calma,M,1549,0.000027,0.000028
410,c=B dc=0 h=A dh=+ L=M dL=0 preo=A,emergencia,B,257,0.000027,0.000332
411,c=B dc=0 h=A dh=+ L=M dL=+ preo=M,emergencia,B,104,0.000027,0.000244
412,c=B dc=0 h=M dh=0 L=B dL=- preo=A,calma,B,158,0.000027,0.000270
413,c=B dc=0 h=M dh=0 L=B dL=- preo=M,calma,B,495,0.000027,0.000002
414,c=M dc=0 h=A dh=0 L=M dL=- preo=M,emergencia,M,58,0.000027,0.000001
415,c=B dc=0 h=M dh=- L=A dL=+ preo=A,calma,B,1072,0.000027,0.000220
416,c=B dc=0 h=A dh=+ L=M dL=+ preo=A,emergencia,B,753,0.000027,0.000244
417,c=M dc=- h=B dh=0 L=A dL=+ preo=A,calma,M,96,0.000027,0.000429
418,c=M dc=0 h=M dh=+ L=B dL=- preo=A,calma,M,119,0.000027,0.000407
419,c=B dc=0 h=M dh=- L=A dL=- preo=B,calma,B,1051,0.000027,0.000154
420,c=M dc=0 h=B dh=0 L=B dL=0 preo=M,calma,M,13,0.000027,0.000349
421,c=M dc=+ h=B dh=- L=B dL=- preo=A,prop_rapida,M,427,0.000027,0.000299
422,c=B dc=+ h=B dh=- L=B dL=0 preo=M,prop_lenta,B,1347,0.000027,0.000349
423,c=M dc=0 h=B dh=- L=A dL=- preo=B,calma,M,542,0.000027,0.000000
424,c=B dc=+ h=B dh=- L=M dL=+ preo=A,prop_lenta,B,436,0.000027,0.000451
425,c=M dc=0 h=B dh=- L=M dL=+ preo=M,calma,M,603,0.000027,0.000125
426,c=M dc=+ h=B dh=0 L=B dL=- preo=A,prop_rapida,M,222,0.000027,0.000451
427,c=B dc=0 h=M dh=0 L=M dL=0 preo=M,calma,B,568,0.000027,0.000154
428,c=B dc=0 h=M dh=0 L=M dL=+ preo=M,calma,B,155,0.000027,0.000002
429,c=M dc=+ h=M dh=0 L=B dL=0 preo=M,prop_rapida,M,220,0.000027,0.000189
430,c=M dc=0 h=M dh=- L=B dL=- preo=B,calma,M,1798,0.000027,0.000000
431,c=M dc=0 h=B dh=+ L=M dL=+ preo=M,calma,M,232,0.000027,0.000368
432,c=B dc=0 h=A dh=- L=A dL=+ preo=B,emergencia,B,1529,0.000027,0.000162
433,c=B dc=0 h=A dh=- L=A dL=0 preo=M,emergencia,B,530,0.000027,0.000189
434,c=B dc=0 h=A dh=- L=M dL=+ preo=A,emergencia,B,2325,0.000027,0.000154
435,c=B dc=0 h=A dh=- L=M dL=+ preo=M,emergencia,B,590,0.000027,0.000132
436,c=M dc=0 h=B dh=+ L=A dL=0 preo=B,calma,M,361,0.000027,0.000000
437,c=B dc=0 h=A dh=+ L=B dL=- preo=B,emergencia,B,425,0.000027,0.000004
438,c=B dc=0 h=A dh=- L=M dL=- preo=B,emergencia,B,1360,0.000027,0.000139
439,c=M dc=0 h=M dh=- L=M dL=- preo=M,calma,M,1038,0.000027,0.000001
440,c=B dc=0 h=M dh=0 L=A dL=- preo=B,calma,B,726,0.000027,0.000000
441,c=M dc=0 h=M dh=- L=M dL=+ preo=M,calma,M,586,0.000027,0.000154
442,c=M dc=0 h=M dh=- L=A dL=+ preo=B,calma,M,1545,0.000027,0.000000
443,c=M dc=0 h=M dh=0 L=M dL=+ preo=B,calma,M,2585,0.000027,0.000000
444,c=M dc=0 h=M dh=+ L=B dL=- preo=B,calma,M,2917,0.000027,0.000000
445,c=B dc=0 h=M dh=+ L=B dL=0 preo=B,calma,B,501,0.000027,0.000000
446,c=B dc=0 h=M dh=+ L=B dL=- preo=M,calma,B,663,0.000027,0.000299
447,c=M dc=0 h=M dh=+ L=B dL=- preo=M,calma,M,1114,0.000027,0.000368
448,c=B dc=0 h=A dh=+ L=M dL=- preo=B,emergencia,B,687,0.000027,0.000003
449,c=B dc=0 h=B dh=+ L=M dL=0 preo=B,calma,B,1990,0.000027,0.000332
450,c=B dc=+ h=B dh=0 L=B dL=0 preo=A,prop_lenta,B,162,0.000027,0.000429
451,c=B dc=0 h=B dh=+ L=B dL=+ preo=A,calma,B,58,0.000027,0.000475
452,c=B dc=+ h=M dh=- L=B dL=0 preo=M,prop_lenta,B,1244,0.000027,0.000154
453,c=B dc=+ h=B dh=+ L=A dL=+ preo=A,prop_lenta,B,39,0.000027,0.000429
454,c=M dc=- h=A dh=+ L=A dL=- preo=M,emergencia,M,505,0.000027,0.000315
455,c=B dc=- h=A dh=+ L=M dL=- preo=B,emergencia,B,827,0.000027,0.000001
456,c=B dc=- h=A dh=+ L=B dL=- preo=A,emergencia,B,1051,0.000027,0.000244
457,c=M dc=+ h=B dh=+ L=A dL=+ preo=M,prop_rapida,M,26,0.000027,0.000475
458,c=M dc=- h=A dh=+ L=M dL=- preo=M,emergencia,M,453,0.000027,0.000349
459,c=B dc=+ h=M dh=- L=B dL=- preo=A,prop_lenta,B,3016,0.000027,0.000299
460,c=B dc=+ h=M dh=- L=B dL=0 preo=B,prop_lenta,B,1192,0.000027,0.000001
461,c=B dc=+ h=M dh=- L=B dL=0 preo=A,prop_lenta,B,168,0.000027,0.000299
462,c=B dc=0 h=B dh=+ L=B dL=- preo=M,calma,B,244,0.000027,0.000315
463,c=M dc=+ h=M dh=- L=B dL=- preo=A,prop_rapida,M,408,0.000027,0.000284
464,c=A dc=+ h=A dh=+ L=B dL=- preo=B,emergencia,A,1912,0.000027,0.000000
465,c=M dc=+ h=M dh=- L=M dL=+ preo=M,prop_rapida,M,330,0.000027,0.000179
466,c=M dc=- h=M dh=+ L=A dL=- preo=A,calma,M,161,0.000027,0.000407
467,c=B dc=0 h=A dh=0 L=A dL=+ preo=B,emergencia,B,719,0.000027,0.000199
468,c=M dc=- h=M dh=+ L=A dL=- preo=M,calma,M,215,0.000027,0.000000
469,c=B dc=+ h=M dh=0 L=B dL=- preo=M,prop_lenta,B,1487,0.000027,0.000244
470,c=B dc=+ h=M dh=0 L=M dL=0 preo=M,prop_lenta,B,275,0.000027,0.000220
471,c=B dc=+ h=B dh=+ L=A dL=+ preo=M,prop_lenta,B,29,0.000027,0.000407
472,c=B dc=+ h=B dh=+ L=M dL=+ preo=A,prop_lenta,B,111,0.000027,0.000429
473,c=B dc=- h=A dh=+ L=A dL=- preo=B,emergencia,B,340,0.000027,0.000000
474,c=M dc=+ h=B dh=+ L=M dL=+ preo=M,prop_rapida,M,175,0.000027,0.000315
475,c=B dc=+ h=B dh=0 L=M dL=- preo=B,prop_lenta,B,5511,0.000027,0.000000
476,c=B dc=0 h=B dh=0 L=A dL=+ preo=A,calma,B,776,0.000027,0.000368
477,c=B dc=+ h=B dh=0 L=M dL=- preo=M,prop_lenta,B,228,0.000027,0.000189
478,c=M dc=0 h=B dh=- L=B dL=- preo=A,calma,M,32,0.000027,0.000299
479,c=B dc=0 h=B dh=0 L=B dL=0 preo=M,calma,B,20,0.000027,0.000500
480,c=M dc=+ h=B dh=0 L=M dL=+ preo=A,prop_rapida,M,23,0.000027,0.000387
481,c=B dc=+ h=B dh=+ L=B dL=0 preo=M,prop_lenta,B,112,0.000027,0.000429
482,c=M dc=+ h=B dh=0 L=A dL=+ preo=B,prop_rapida,M,946,0.000027,0.000125
483,c=M dc=+ h=B dh=+ L=B dL=0 preo=B,prop_rapida,M,1471,0.000027,0.000132
484,c=B dc=+ h=B dh=+ L=B dL=+ preo=M,prop_lenta,B,74,0.000027,0.000475
485,c=B dc=0 h=B dh=- L=B dL=+ preo=A,calma,B,211,0.000027,0.000475
486,c=B dc=0 h=B dh=- L=B dL=+ preo=B,calma,B,1594,0.000027,0.000016
487,c=B dc=+ h=B dh=+ L=M dL=- preo=B,prop_lenta,B,9195,0.000027,0.000021
488,c=M dc=+ h=B dh=+ L=B dL=+ preo=M,prop_rapida,M,47,0.000027,0.000332
489,c=B dc=+ h=B dh=+ L=M dL=- preo=M,prop_lenta,B,211,0.000027,0.000113
490,c=M dc=+ h=B dh=+ L=M dL=- preo=B,prop_rapida,M,5617,0.000027,0.000429
491,c=M dc=+ h=B dh=+ L=M dL=0 preo=M,prop_rapida,M,32,0.000027,0.000232
492,c=B dc=- h=B dh=- L=B dL=- preo=B,calma,B,7537,0.000027,0.000009
