estado,fase,mejor_accion,work,school,ptrans,conf,coste,Q_max,visitas
c=B dc=+ h=B dh=+ L=M dL=- preo=A,prop_lenta,"(0, 1, 0, 1)",0,1,0,1,3.0,8.6103,53
c=B dc=+ h=B dh=+ L=M dL=0 preo=B,prop_lenta,"(0, 2, 1, 2)",0,2,1,2,7.0,14.8706,940
c=B dc=+ h=B dh=+ L=M dL=0 preo=M,prop_lenta,"(2, 0, 2, 1)",2,0,2,1,6.0,11.9421,24
c=B dc=+ h=B dh=+ L=M dL=0 preo=A,prop_lenta,"(1, 1, 2, 0)",1,1,2,0,4.0,7.2015,50
c=B dc=+ h=B dh=+ L=M dL=+ preo=B,prop_lenta,"(2, 1, 1, 0)",2,1,1,0,4.0,14.5951,9256
c=B dc=+ h=B dh=+ L=M dL=+ preo=M,prop_lenta,"(1, 2, 2, 2)",1,2,2,2,9.0,14.8475,75
c=B dc=+ h=B dh=+ L=M dL=+ preo=A,prop_lenta,"(1, 0, 0, 0)",1,0,0,0,1.0,10.2600,111
c=B dc=+ h=B dh=+ L=A dL=- preo=B,prop_lenta,"(1, 1, 2, 0)",1,1,2,0,4.0,15.3633,625
c=B dc=+ h=B dh=+ L=A dL=- preo=M,prop_lenta,"(0, 1, 0, 0)",0,1,0,0,1.0,9.9930,2
c=B dc=+ h=B dh=+ L=A dL=- preo=A,prop_lenta,"(2, 0, 2, 1)",2,0,2,1,6.0,3.2516,1
c=B dc=+ h=B dh=+ L=A dL=0 preo=B,prop_lenta,"(2, 0, 2, 1)",2,0,2,1,6.0,13.9874,134
c=B dc=+ h=B dh=+ L=A dL=0 preo=M,prop_lenta,"(2, 0, 2, 1)",2,0,2,1,6.0,3.3090,1
c=B dc=+ h=B dh=+ L=A dL=0 preo=A,prop_lenta,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,0
c=B dc=+ h=B dh=+ L=A dL=+ preo=B,prop_lenta,"(2, 0, 2, 2)",2,0,2,2,8.0,15.7783,2608
c=B dc=+ h=B dh=+ L=A dL=+ preo=M,prop_lenta,"(0, 1, 2, 0)",0,1,2,0,3.0,14.3314,29
c=B dc=+ h=B dh=+ L=A dL=+ preo=A,prop_lenta,"(2, 0, 1, 0)",2,0,1,0,3.0,8.6989,39
c=B dc=+ h=M dh=- L=B dL=- preo=B,prop_lenta,"(2, 2, 2, 0)",2,2,2,0,6.0,15.2387,139883
c=B dc=+ h=M dh=- L=B dL=- preo=M,prop_lenta,"(0, 1, 0, 0)",0,1,0,0,1.0,11.9866,11819
c=B dc=+ h=M dh=- L=B dL=- preo=A,prop_lenta,"(0, 2, 0, 0)",0,2,0,0,2.0,10.3038,3016
c=B dc=+ h=M dh=- L=B dL=0 preo=B,prop_lenta,"(1, 1, 2, 2)",1,1,2,2,8.0,14.8828,1192
c=B dc=+ h=M dh=- L=B dL=0 preo=M,prop_lenta,"(0, 0, 1, 0)",0,0,1,0,1.0,11.8745,1244
c=B dc=+ h=M dh=- L=B dL=0 preo=A,prop_lenta,"(2, 2, 1, 1)",2,2,1,1,7.0,8.5863,168
c=B dc=+ h=M dh=- L=B dL=+ preo=B,prop_lenta,"(2, 2, 1, 1)",2,2,1,1,7.0,15.3271,839
c=B dc=+ h=M dh=- L=B dL=+ preo=M,prop_lenta,"(2, 0, 0, 0)",2,0,0,0,2.0,11.8850,135
c=B dc=+ h=M dh=- L=B dL=+ preo=A,prop_lenta,"(0, 0, 1, 0)",0,0,1,0,1.0,9.4685,53
c=B dc=+ h=M dh=- L=M dL=- preo=B,prop_lenta,"(0, 0, 0, 2)",0,0,0,2,4.0,13.9514,7990
c=B dc=+ h=M dh=- L=M dL=- preo=M,prop_lenta,"(1, 2, 2, 0)",1,2,2,0,5.0,13.1934,6204
c=B dc=+ h=M dh=- L=M dL=- preo=A,prop_lenta,"(0, 0, 2, 0)",0,0,2,0,2.0,10.0601,266
c=B dc=+ h=M dh=- L=M dL=0 preo=B,prop_lenta,"(0, 2, 0, 0)",0,2,0,0,2.0,14.5229,3029
c=B dc=+ h=M dh=- L=M dL=0 preo=M,prop_lenta,"(2, 2, 1, 0)",2,2,1,0,5.0,13.5978,1357
c=B dc=+ h=M dh=- L=M dL=0 preo=A,prop_lenta,"(0, 0, 0, 1)",0,0,0,1,2.0,9.6288,66
c=B dc=+ h=M dh=- L=M dL=+ preo=B,prop_lenta,"(1, 1, 1, 2)",1,1,1,2,7.0,14.5839,5334
c=B dc=+ h=M dh=- L=M dL=+ preo=M,prop_lenta,"(0, 0, 1, 0)",0,0,1,0,1.0,12.1671,602
c=B dc=+ h=M dh=- L=M dL=+ preo=A,prop_lenta,"(0, 1, 2, 0)",0,1,2,0,3.0,10.3971,147
c=B dc=+ h=M dh=- L=A dL=- preo=B,prop_lenta,"(2, 0, 0, 1)",2,0,0,1,4.0,14.8611,419
c=B dc=+ h=M dh=- L=A dL=- preo=M,prop_lenta,"(2, 1, 0, 1)",2,1,0,1,5.0,14.3661,165
c=B dc=+ h=M dh=- L=A dL=- preo=A,prop_lenta,"(1, 1, 0, 2)",1,1,0,2,6.0,10.4655,104
c=B dc=+ h=M dh=- L=A dL=0 preo=B,prop_lenta,"(0, 1, 2, 0)",0,1,2,0,3.0,14.6151,262
c=B dc=+ h=M dh=- L=A dL=0 preo=M,prop_lenta,"(1, 2, 2, 0)",1,2,2,0,5.0,13.3837,139
c=B dc=+ h=M dh=- L=A dL=0 preo=A,prop_lenta,"(1, 2, 2, 2)",1,2,2,2,9.0,8.0794,26
c=B dc=+ h=M dh=- L=A dL=+ preo=B,prop_lenta,"(2, 0, 1, 0)",2,0,1,0,3.0,14.7172,4862
c=B dc=+ h=M dh=- L=A dL=+ preo=M,prop_lenta,"(1, 0, 2, 1)",1,0,2,1,5.0,12.8918,2205
c=B dc=+ h=M dh=- L=A dL=+ preo=A,prop_lenta,"(1, 0, 1, 2)",1,0,1,2,6.0,11.2820,445
c=B dc=+ h=M dh=0 L=B dL=- preo=B,prop_lenta,"(2, 2, 2, 0)",2,2,2,0,6.0,15.4821,97558
c=B dc=+ h=M dh=0 L=B dL=- preo=M,prop_lenta,"(2, 2, 1, 1)",2,2,1,1,7.0,12.7234,1487
c=B dc=+ h=M dh=0 L=B dL=- preo=A,prop_lenta,"(0, 2, 0, 0)",0,2,0,0,2.0,10.0347,220
c=B dc=+ h=M dh=0 L=B dL=0 preo=B,prop_lenta,"(0, 1, 0, 1)",0,1,0,1,3.0,13.3112,560
c=B dc=+ h=M dh=0 L=B dL=0 preo=M,prop_lenta,"(0, 2, 2, 2)",0,2,2,2,8.0,13.0089,176
c=B dc=+ h=M dh=0 L=B dL=0 preo=A,prop_lenta,"(1, 2, 2, 2)",1,2,2,2,9.0,7.9127,28
c=B dc=+ h=M dh=0 L=B dL=+ preo=B,prop_lenta,"(0, 1, 0, 2)",0,1,0,2,5.0,13.2707,476
c=B dc=+ h=M dh=0 L=B dL=+ preo=M,prop_lenta,"(2, 0, 0, 1)",2,0,0,1,4.0,9.6757,15
c=B dc=+ h=M dh=0 L=B dL=+ preo=A,prop_lenta,"(1, 2, 0, 2)",1,2,0,2,7.0,8.3178,9
c=B dc=+ h=M dh=0 L=M dL=- preo=B,prop_lenta,"(0, 0, 2, 0)",0,0,2,0,2.0,14.8082,3330
c=B dc=+ h=M dh=0 L=M dL=- preo=M,prop_lenta,"(0, 1, 1, 0)",0,1,1,0,2.0,11.7972,955
c=B dc=+ h=M dh=0 L=M dL=- preo=A,prop_lenta,"(0, 0, 0, 0)",0,0,0,0,0.0,10.3220,13
c=B dc=+ h=M dh=0 L=M dL=0 preo=B,prop_lenta,"(2, 0, 1, 2)",2,0,1,2,7.0,14.3029,1179
c=B dc=+ h=M dh=0 L=M dL=0 preo=M,prop_lenta,"(2, 0, 0, 0)",2,0,0,0,2.0,12.4486,275
c=B dc=+ h=M dh=0 L=M dL=0 preo=A,prop_lenta,"(1, 2, 2, 1)",1,2,2,1,7.0,3.4883,2
c=B dc=+ h=M dh=0 L=M dL=+ preo=B,prop_lenta,"(2, 0, 1, 2)",2,0,1,2,7.0,14.7831,2652
c=B dc=+ h=M dh=0 L=M dL=+ preo=M,prop_lenta,"(2, 1, 2, 0)",2,1,2,0,5.0,12.4884,72
c=B dc=+ h=M dh=0 L=M dL=+ preo=A,prop_lenta,"(1, 2, 1, 0)",1,2,1,0,4.0,10.1946,14
c=B dc=+ h=M dh=0 L=A dL=- preo=B,prop_lenta,"(0, 1, 1, 0)",0,1,1,0,2.0,15.3298,212
c=B dc=+ h=M dh=0 L=A dL=- preo=M,prop_lenta,"(1, 2, 0, 2)",1,2,0,2,7.0,12.1666,4
c=B dc=+ h=M dh=0 L=A dL=- preo=A,prop_lenta,"(1, 2, 0, 1)",1,2,0,1,5.0,6.2068,2
c=B dc=+ h=M dh=0 L=A dL=0 preo=B,prop_lenta,"(0, 2, 2, 1)",0,2,2,1,6.0,15.3135,53
c=B dc=+ h=M dh=0 L=A dL=0 preo=M,prop_lenta,"(2, 1, 2, 2)",2,1,2,2,9.0,9.9560,2
c=B dc=+ h=M dh=0 L=A dL=0 preo=A,prop_lenta,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,0
c=B dc=+ h=M dh=0 L=A dL=+ preo=B,prop_lenta,"(1, 1, 0, 2)",1,1,0,2,6.0,14.4588,1902
c=B dc=+ h=M dh=0 L=A dL=+ preo=M,prop_lenta,"(0, 0, 1, 0)",0,0,1,0,1.0,12.4067,130
c=B dc=+ h=M dh=0 L=A dL=+ preo=A,prop_lenta,"(1, 0, 2, 1)",1,0,2,1,5.0,7.7284,2
c=B dc=+ h=M dh=+ L=B dL=- preo=B,prop_lenta,"(2, 2, 2, 0)",2,2,2,0,6.0,15.3646,205000
c=B dc=+ h=M dh=+ L=B dL=- preo=M,prop_lenta,"(0, 0, 0, 0)",0,0,0,0,0.0,12.2612,1612
c=B dc=+ h=M dh=+ L=B dL=- preo=A,prop_lenta,"(0, 1, 2, 0)",0,1,2,0,3.0,6.3457,369
c=B dc=+ h=M dh=+ L=B dL=0 preo=B,prop_lenta,"(0, 1, 1, 2)",0,1,1,2,6.0,14.0542,1039
c=B dc=+ h=M dh=+ L=B dL=0 preo=M,prop_lenta,"(0, 0, 1, 0)",0,0,1,0,1.0,12.6624,137
c=B dc=+ h=M dh=+ L=B dL=0 preo=A,prop_lenta,"(2, 0, 0, 0)",2,0,0,0,2.0,6.5778,69
c=B dc=+ h=M dh=+ L=B dL=+ preo=B,prop_lenta,"(1, 1, 1, 0)",1,1,1,0,3.0,14.0931,729
c=B dc=+ h=M dh=+ L=B dL=+ preo=M,prop_lenta,"(2, 1, 2, 0)",2,1,2,0,5.0,13.0143,18
c=B dc=+ h=M dh=+ L=B dL=+ preo=A,prop_lenta,"(1, 1, 1, 2)",1,1,1,2,7.0,10.2758,11
c=B dc=+ h=M dh=+ L=M dL=- preo=B,prop_lenta,"(2, 2, 0, 1)",2,2,0,1,6.0,14.8589,5963
c=B dc=+ h=M dh=+ L=M dL=- preo=M,prop_lenta,"(0, 0, 1, 1)",0,0,1,1,3.0,11.8849,1088
c=B dc=+ h=M dh=+ L=M dL=- preo=A,prop_lenta,"(2, 1, 2, 1)",2,1,2,1,7.0,8.0249,10
c=B dc=+ h=M dh=+ L=M dL=0 preo=B,prop_lenta,"(2, 2, 2, 2)",2,2,2,2,10.0,14.4566,1669
c=B dc=+ h=M dh=+ L=M dL=0 preo=M,prop_lenta,"(1, 2, 0, 1)",1,2,0,1,5.0,12.6720,335
c=B dc=+ h=M dh=+ L=M dL=0 preo=A,prop_lenta,"(0, 2, 0, 1)",0,2,0,1,4.0,8.7324,9
c=B dc=+ h=M dh=+ L=M dL=+ preo=B,prop_lenta,"(0, 2, 2, 1)",0,2,2,1,6.0,14.3349,4232
c=B dc=+ h=M dh=+ L=M dL=+ preo=M,prop_lenta,"(0, 0, 1, 0)",0,0,1,0,1.0,12.0174,106
c=B dc=+ h=M dh=+ L=M dL=+ preo=A,prop_lenta,"(2, 1, 2, 1)",2,1,2,1,7.0,10.0376,9
c=B dc=+ h=M dh=+ L=A dL=- preo=B,prop_lenta,"(0, 0, 1, 1)",0,0,1,1,3.0,14.9996,371
c=B dc=+ h=M dh=+ L=A dL=- preo=M,prop_lenta,"(1, 2, 0, 0)",1,2,0,0,3.0,11.1168,5
c=B dc=+ h=M dh=+ L=A dL=- preo=A,prop_lenta,"(1, 1, 0, 0)",1,1,0,0,2.0,2.7728,1
c=B dc=+ h=M dh=+ L=A dL=0 preo=B,prop_lenta,"(1, 1, 0, 2)",1,1,0,2,6.0,14.3467,80
c=B dc=+ h=M dh=+ L=A dL=0 preo=M,prop_lenta,"(2, 2, 1, 2)",2,2,1,2,9.0,8.6049,2
c=B dc=+ h=M dh=+ L=A dL=0 preo=A,prop_lenta,"(0, 1, 2, 1)",0,1,2,1,5.0,4.2145,1
c=B dc=+ h=M dh=+ L=A dL=+ preo=B,prop_lenta,"(1, 0, 1, 1)",1,0,1,1,4.0,14.8874,2774
c=B dc=+ h=M dh=+ L=A dL=+ preo=M,prop_lenta,"(2, 2, 0, 1)",2,2,0,1,6.0,13.6623,152
c=B dc=+ h=M dh=+ L=A dL=+ preo=A,prop_lenta,"(1, 2, 1, 2)",1,2,1,2,8.0,6.6049,4
c=B dc=+ h=A dh=- L=B dL=- preo=B,emergencia,"(2, 2, 2, 1)",2,2,2,1,8.0,13.3823,3931
c=B dc=+ h=A dh=- L=B dL=- preo=M,emergencia,"(1, 1, 2, 2)",1,1,2,2,8.0,12.0462,5599
c=B dc=+ h=A dh=- L=B dL=- preo=A,emergencia,"(0, 2, 2, 2)",0,2,2,2,8.0,4.6262,55609
c=B dc=+ h=A dh=- L=B dL=0 preo=B,emergencia,"(1, 0, 1, 0)",1,0,1,0,2.0,12.0616,18
c=B dc=+ h=A dh=- L=B dL=0 preo=M,emergencia,"(2, 2, 2, 0)",2,2,2,0,6.0,12.1382,57
c=B dc=+ h=A dh=- L=B dL=0 preo=A,emergencia,"(2, 1, 2, 1)",2,1,2,1,7.0,5.0641,821
c=B dc=+ h=A dh=- L=B dL=+ preo=B,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,11.2197,15
c=B dc=+ h=A dh=- L=B dL=+ preo=M,emergencia,"(1, 1, 1, 0)",1,1,1,0,3.0,11.0783,23
c=B dc=+ h=A dh=- L=B dL=+ preo=A,emergencia,"(2, 1, 1, 2)",2,1,1,2,8.0,4.2550,368
c=B dc=+ h=A dh=- L=M dL=- preo=B,emergencia,"(1, 1, 0, 1)",1,1,0,1,4.0,13.0031,1689
c=B dc=+ h=A dh=- L=M dL=- preo=M,emergencia,"(0, 1, 2, 2)",0,1,2,2,7.0,11.5864,4974
c=B dc=+ h=A dh=- L=M dL=- preo=A,emergencia,"(2, 2, 0, 0)",2,2,0,0,4.0,4.3308,7611
c=B dc=+ h=A dh=- L=M dL=0 preo=B,emergencia,"(2, 2, 0, 0)",2,2,0,0,4.0,13.6443,122
c=B dc=+ h=A dh=- L=M dL=0 preo=M,emergencia,"(0, 1, 2, 2)",0,1,2,2,7.0,11.1566,727
c=B dc=+ h=A dh=- L=M dL=0 preo=A,emergencia,"(0, 1, 2, 2)",0,1,2,2,7.0,3.9593,2645
c=B dc=+ h=A dh=- L=M dL=+ preo=B,emergencia,"(1, 2, 0, 0)",1,2,0,0,3.0,12.6175,538
c=B dc=+ h=A dh=- L=M dL=+ preo=M,emergencia,"(0, 1, 0, 0)",0,1,0,0,1.0,10.8333,402
c=B dc=+ h=A dh=- L=M dL=+ preo=A,emergencia,"(1, 0, 2, 2)",1,0,2,2,7.0,4.7633,1815
c=B dc=+ h=A dh=- L=A dL=- preo=B,emergencia,"(0, 2, 2, 0)",0,2,2,0,4.0,14.4083,164
c=B dc=+ h=A dh=- L=A dL=- preo=M,emergencia,"(2, 2, 2, 1)",2,2,2,1,8.0,12.1696,457
c=B dc=+ h=A dh=- L=A dL=- preo=A,emergencia,"(1, 2, 2, 0)",1,2,2,0,5.0,4.7776,5844
c=B dc=+ h=A dh=- L=A dL=0 preo=B,emergencia,"(1, 1, 1, 1)",1,1,1,1,5.0,12.4006,176
c=B dc=+ h=A dh=- L=A dL=0 preo=M,emergencia,"(2, 1, 1, 1)",2,1,1,1,6.0,12.2384,193
c=B dc=+ h=A dh=- L=A dL=0 preo=A,emergencia,"(0, 2, 1, 1)",0,2,1,1,5.0,3.8920,991
c=B dc=+ h=A dh=- L=A dL=+ preo=B,emergencia,"(2, 2, 2, 2)",2,2,2,2,10.0,13.6764,811
c=B dc=+ h=A dh=- L=A dL=+ preo=M,emergencia,"(2, 2, 0, 1)",2,2,0,1,6.0,12.2683,3374
c=B dc=+ h=A dh=- L=A dL=+ preo=A,emergencia,"(1, 0, 1, 1)",1,0,1,1,4.0,5.0559,12117
c=B dc=+ h=A dh=0 L=B dL=- preo=B,emergencia,"(0, 2, 0, 2)",0,2,0,2,6.0,13.6972,1536
c=B dc=+ h=A dh=0 L=B dL=- preo=M,emergencia,"(2, 1, 2, 2)",2,1,2,2,9.0,12.1966,532
c=B dc=+ h=A dh=0 L=B dL=- preo=A,emergencia,"(2, 1, 1, 2)",2,1,1,2,8.0,4.1081,4059
c=B dc=+ h=A dh=0 L=B dL=0 preo=B,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,0
c=B dc=+ h=A dh=0 L=B dL=0 preo=M,emergencia,"(1, 1, 1, 2)",1,1,1,2,7.0,6.5203,5
c=B dc=+ h=A dh=0 L=B dL=0 preo=A,emergencia,"(0, 2, 0, 0)",0,2,0,0,2.0,3.4044,47
c=B dc=+ h=A dh=0 L=B dL=+ preo=B,emergencia,"(0, 0, 2, 1)",0,0,2,1,4.0,9.2374,3
c=B dc=+ h=A dh=0 L=B dL=+ preo=M,emergencia,"(2, 0, 0, 0)",2,0,0,0,2.0,3.5627,3
c=B dc=+ h=A dh=0 L=B dL=+ preo=A,emergencia,"(2, 1, 2, 0)",2,1,2,0,5.0,1.8113,21
c=B dc=+ h=A dh=0 L=M dL=- preo=B,emergencia,"(0, 2, 2, 1)",0,2,2,1,6.0,13.8298,387
c=B dc=+ h=A dh=0 L=M dL=- preo=M,emergencia,"(0, 1, 2, 2)",0,1,2,2,7.0,11.2209,956
c=B dc=+ h=A dh=0 L=M dL=- preo=A,emergencia,"(1, 0, 1, 2)",1,0,1,2,6.0,3.2657,1003
c=B dc=+ h=A dh=0 L=M dL=0 preo=B,emergencia,"(2, 0, 1, 0)",2,0,1,0,3.0,14.1697,25
c=B dc=+ h=A dh=0 L=M dL=0 preo=M,emergencia,"(2, 2, 2, 1)",2,2,2,1,8.0,12.9978,87
c=B dc=+ h=A dh=0 L=M dL=0 preo=A,emergencia,"(2, 1, 0, 2)",2,1,0,2,7.0,3.8230,163
c=B dc=+ h=A dh=0 L=M dL=+ preo=B,emergencia,"(1, 2, 0, 0)",1,2,0,0,3.0,12.5187,103
c=B dc=+ h=A dh=0 L=M dL=+ preo=M,emergencia,"(0, 2, 0, 1)",0,2,0,1,4.0,10.4081,30
c=B dc=+ h=A dh=0 L=M dL=+ preo=A,emergencia,"(2, 0, 2, 2)",2,0,2,2,8.0,3.7299,302
c=B dc=+ h=A dh=0 L=A dL=- preo=B,emergencia,"(0, 1, 0, 0)",0,1,0,0,1.0,12.1670,13
c=B dc=+ h=A dh=0 L=A dL=- preo=M,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,10.8595,20
c=B dc=+ h=A dh=0 L=A dL=- preo=A,emergencia,"(2, 2, 1, 2)",2,2,1,2,9.0,4.1176,302
c=B dc=+ h=A dh=0 L=A dL=0 preo=B,emergencia,"(2, 2, 2, 0)",2,2,2,0,6.0,13.9442,8
c=B dc=+ h=A dh=0 L=A dL=0 preo=M,emergencia,"(2, 1, 0, 1)",2,1,0,1,5.0,10.7605,10
c=B dc=+ h=A dh=0 L=A dL=0 preo=A,emergencia,"(0, 1, 2, 0)",0,1,2,0,3.0,3.5731,36
c=B dc=+ h=A dh=0 L=A dL=+ preo=B,emergencia,"(1, 0, 1, 1)",1,0,1,1,4.0,13.9892,128
c=B dc=+ h=A dh=0 L=A dL=+ preo=M,emergencia,"(2, 2, 1, 0)",2,2,1,0,5.0,12.1230,331
c=B dc=+ h=A dh=0 L=A dL=+ preo=A,emergencia,"(2, 2, 0, 2)",2,2,0,2,8.0,4.7707,258
c=B dc=+ h=A dh=+ L=B dL=- preo=B,emergencia,"(0, 2, 2, 2)",0,2,2,2,8.0,13.9071,5305
c=B dc=+ h=A dh=+ L=B dL=- preo=M,emergencia,"(2, 2, 2, 1)",2,2,2,1,8.0,11.6443,823
c=B dc=+ h=A dh=+ L=B dL=- preo=A,emergencia,"(0, 2, 0, 2)",0,2,0,2,6.0,3.6925,2430
c=B dc=+ h=A dh=+ L=B dL=0 preo=B,emergencia,"(0, 2, 1, 2)",0,2,1,2,7.0,15.2963,13
c=B dc=+ h=A dh=+ L=B dL=0 preo=M,emergencia,"(2, 1, 2, 2)",2,1,2,2,9.0,11.8876,17
c=B dc=+ h=A dh=+ L=B dL=0 preo=A,emergencia,"(1, 0, 1, 0)",1,0,1,0,2.0,5.8607,46
c=B dc=+ h=A dh=+ L=B dL=+ preo=B,emergencia,"(1, 1, 2, 2)",1,1,2,2,8.0,11.9266,22
c=B dc=+ h=A dh=+ L=B dL=+ preo=M,emergencia,"(2, 0, 0, 0)",2,0,0,0,2.0,6.9492,6
c=B dc=+ h=A dh=+ L=B dL=+ preo=A,emergencia,"(1, 1, 2, 0)",1,1,2,0,4.0,2.5876,12
c=B dc=+ h=A dh=+ L=M dL=- preo=B,emergencia,"(2, 1, 2, 2)",2,1,2,2,9.0,12.9915,556
c=B dc=+ h=A dh=+ L=M dL=- preo=M,emergencia,"(2, 2, 1, 1)",2,2,1,1,7.0,10.6175,1287
c=B dc=+ h=A dh=+ L=M dL=- preo=A,emergencia,"(0, 2, 2, 2)",0,2,2,2,8.0,3.1239,1788
c=B dc=+ h=A dh=+ L=M dL=0 preo=B,emergencia,"(1, 1, 2, 0)",1,1,2,0,4.0,12.4729,133
c=B dc=+ h=A dh=+ L=M dL=0 preo=M,emergencia,"(2, 2, 1, 2)",2,2,1,2,9.0,12.5603,182
c=B dc=+ h=A dh=+ L=M dL=0 preo=A,emergencia,"(2, 2, 2, 1)",2,2,2,1,8.0,3.6567,226
c=B dc=+ h=A dh=+ L=M dL=+ preo=B,emergencia,"(2, 1, 1, 2)",2,1,1,2,8.0,12.7752,260
c=B dc=+ h=A dh=+ L=M dL=+ preo=M,emergencia,"(1, 0, 1, 0)",1,0,1,0,2.0,9.9861,47
c=B dc=+ h=A dh=+ L=M dL=+ preo=A,emergencia,"(2, 1, 0, 1)",2,1,0,1,5.0,2.9822,561
c=B dc=+ h=A dh=+ L=A dL=- preo=B,emergencia,"(0, 2, 2, 1)",0,2,2,1,6.0,11.7382,9
c=B dc=+ h=A dh=+ L=A dL=- preo=M,emergencia,"(2, 1, 0, 0)",2,1,0,0,3.0,10.0957,15
c=B dc=+ h=A dh=+ L=A dL=- preo=A,emergencia,"(1, 1, 1, 1)",1,1,1,1,5.0,3.4582,307
c=B dc=+ h=A dh=+ L=A dL=0 preo=B,emergencia,"(1, 0, 2, 0)",1,0,2,0,3.0,13.1017,4
c=B dc=+ h=A dh=+ L=A dL=0 preo=M,emergencia,"(2, 2, 2, 2)",2,2,2,2,10.0,9.4054,4
c=B dc=+ h=A dh=+ L=A dL=0 preo=A,emergencia,"(1, 2, 1, 2)",1,2,1,2,8.0,2.5680,14
c=B dc=+ h=A dh=+ L=A dL=+ preo=B,emergencia,"(1, 2, 1, 1)",1,2,1,1,6.0,13.0687,197
c=B dc=+ h=A dh=+ L=A dL=+ preo=M,emergencia,"(2, 1, 2, 2)",2,1,2,2,9.0,11.0571,331
c=B dc=+ h=A dh=+ L=A dL=+ preo=A,emergencia,"(1, 0, 1, 0)",1,0,1,0,2.0,3.3598,196
c=M dc=- h=B dh=- L=B dL=- preo=B,calma,"(2, 2, 1, 2)",2,2,1,2,9.0,16.5021,827
c=M dc=- h=B dh=- L=B dL=- preo=M,calma,"(1, 2, 2, 2)",1,2,2,2,9.0,13.6764,317
c=M dc=- h=B dh=- L=B dL=- preo=A,calma,"(1, 2, 1, 1)",1,2,1,1,6.0,7.5438,11
c=M dc=- h=B dh=- L=B dL=0 preo=B,calma,"(0, 2, 0, 0)",0,2,0,0,2.0,14.7152,23
c=M dc=- h=B dh=- L=B dL=0 preo=M,calma,"(2, 0, 1, 1)",2,0,1,1,5.0,10.4138,12
c=M dc=- h=B dh=- L=B dL=0 preo=A,calma,"(0, 1, 0, 0)",0,1,0,0,1.0,6.6549,6
c=M dc=- h=B dh=- L=B dL=+ preo=B,calma,"(2, 1, 2, 2)",2,1,2,2,9.0,15.9674,1053
c=M dc=- h=B dh=- L=B dL=+ preo=M,calma,"(0, 0, 0, 1)",0,0,0,1,2.0,9.4592,16
c=M dc=- h=B dh=- L=B dL=+ preo=A,calma,"(1, 1, 1, 2)",1,1,1,2,7.0,8.5868,12
c=M dc=- h=B dh=- L=M dL=- preo=B,calma,"(2, 1, 2, 2)",2,1,2,2,9.0,16.7063,1675
c=M dc=- h=B dh=- L=M dL=- preo=M,calma,"(1, 2, 2, 0)",1,2,2,0,5.0,12.8802,912
c=M dc=- h=B dh=- L=M dL=- preo=A,calma,"(0, 0, 0, 0)",0,0,0,0,0.0,5.0178,9
c=M dc=- h=B dh=- L=M dL=0 preo=B,calma,"(2, 2, 0, 0)",2,2,0,0,4.0,15.4180,391
c=M dc=- h=B dh=- L=M dL=0 preo=M,calma,"(2, 1, 0, 2)",2,1,0,2,7.0,12.8366,141
c=M dc=- h=B dh=- L=M dL=0 preo=A,calma,"(2, 0, 2, 2)",2,0,2,2,8.0,7.9803,2
c=M dc=- h=B dh=- L=M dL=+ preo=B,calma,"(2, 0, 0, 0)",2,0,0,0,2.0,15.4267,7661
c=M dc=- h=B dh=- L=M dL=+ preo=M,calma,"(2, 0, 0, 0)",2,0,0,0,2.0,12.3176,625
c=M dc=- h=B dh=- L=M dL=+ preo=A,calma,"(2, 1, 2, 2)",2,1,2,2,9.0,10.7939,119
c=M dc=- h=B dh=- L=A dL=- preo=B,calma,"(1, 0, 1, 1)",1,0,1,1,4.0,15.2662,1428
c=M dc=- h=B dh=- L=A dL=- preo=M,calma,"(1, 2, 2, 2)",1,2,2,2,9.0,14.0462,278
c=M dc=- h=B dh=- L=A dL=- preo=A,calma,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,0
c=M dc=- h=B dh=- L=A dL=0 preo=B,calma,"(0, 2, 1, 1)",0,2,1,1,5.0,15.1872,2845
c=M dc=- h=B dh=- L=A dL=0 preo=M,calma,"(0, 1, 0, 1)",0,1,0,1,3.0,12.2471,392
c=M dc=- h=B dh=- L=A dL=0 preo=A,calma,"(1, 1, 1, 0)",1,1,1,0,3.0,3.8669,4
c=M dc=- h=B dh=- L=A dL=+ preo=B,calma,"(2, 2, 2, 2)",2,2,2,2,10.0,16.7899,275837
c=M dc=- h=B dh=- L=A dL=+ preo=M,calma,"(2, 2, 1, 2)",2,2,1,2,9.0,14.2196,10212
c=M dc=- h=B dh=- L=A dL=+ preo=A,calma,"(1, 2, 0, 1)",1,2,0,1,5.0,8.7192,123
c=M dc=- h=B dh=0 L=B dL=- preo=B,calma,"(2, 2, 1, 1)",2,2,1,1,7.0,16.2450,247
c=M dc=- h=B dh=0 L=B dL=- preo=M,calma,"(1, 0, 2, 0)",1,0,2,0,3.0,11.2573,123
c=M dc=- h=B dh=0 L=B dL=- preo=A,calma,"(1, 0, 2, 2)",1,0,2,2,7.0,6.4607,13
